error,real_correct,predicted_correct,diff_r,diff_p
D 'Souza is amaced at the recognitaon eancing now has in India -- and the money involked .,D 'Souza is amazed at the recognition dancing now has in India -- and the money involved .,"D'Souza is amazed at the recognition, dancing now has in India -- and the money invoked.","{'recognition', 'amazed', 'involved', 'dancing'}","{'recognition,', 'amazed', 'invoked.', 'dancing', ""D'Souza""}"
"Similarly , the United States gav Ge0rgia military aid in 2002 and 2003 to gelp mprove caunterterror capabilities .","Similarly , the United States gave Georgia military aid in 2002 and 2003 to help improve counterterror capabilities .","Similarly, the United States gave Georgia military aid in 2002 and 2003 to help improve its combat capabilities.","{'help', 'counterterror', 'improve', 'Georgia', 'gave'}","{'help', 'improve', 'combat', 'capabilities.', 'Georgia', 'its', 'Similarly,', 'gave'}"
Others fear the neighbourhood 's character will be irseparabey changed because of luxury housing .,Others fear the neighbourhood 's character will be irreparably changed because of luxury housing .,Others fear the neighborhood's character will be irreparabey changed because of luxury housing.,{'irreparably'},"{""neighborhood's"", 'irreparabey', 'housing.'}"
Goldman reported from New York .,Goldman reported from New York .,Goldman reported from New York.,set(),{'York.'}
"But there 's no oubt that Dudley , im he runs , would bring name familiarity to the rac given that he had two stints playing for the Trail Blazers , from 1993-97 and from 2001-03 .","But there 's no doubt that Dudley , if he runs , would bring name familiarity to the race given that he had two stints playing for the Trail Blazers , from 1993-97 and from 2001-03 .","But there's no doubt that Dudley, I'm he runs, would bring name familiarity to the race given that he had two stints playing for the Trail Blazers, from 1993-97 and from 2001-03.","{'if', 'doubt', 'race'}","{""there's"", 'Dudley,', 'runs,', 'doubt', ""I'm"", '2001-03.', 'Blazers,', 'race'}"
"Nohere Boy , which is directed by conceptial artist Sam Tayor-Wod , is based on the book Imagine This : Growing Up With My Brother John Lennon bye his half sister , Julie Baird .","Nowhere Boy , which is directed by conceptual artist Sam Taylor-Wood , is based on the book Imagine This : Growing Up With My Brother John Lennon by his half sister , Julia Baird .","No here Boy, directed by conceptual artist Sam Tayor-Wod, is based on the book Imagine This: Growing Up With My Brother John Lennon by his half sister, Julie Baird.","{'Julia', 'Taylor-Wood', 'Nowhere', 'conceptual'}","{'sister,', 'conceptual', 'Baird.', 'Tayor-Wod,', 'No', 'This:', 'here', 'Boy,'}"
"The action-adventure led a crowded field of high-powerd nrwcomers to cell an estinated $ 45.5 million worth of tickers since opening Frisay , gistiibutor Walt Disney Pistures said .","The action-adventure led a crowded field of high-powered newcomers to sell an estimated $ 45.5 million worth of tickets since opening Friday , distributor Walt Disney Pictures said .","The action-adventure led a crowded field of high-powered newcomers to cell an estimated $ 45.5 million worth of tickers since opening Frisay, distributor Walt Disney Pistures said.","{'estimated', 'newcomers', 'sell', 'high-powered', 'Pictures', 'Friday', 'tickets', 'distributor'}","{'estimated', 'said.', 'Frisay,', 'newcomers', 'high-powered', 'distributor'}"
"He would rathlr quietly prepare foe the next game two shrd his sport coat , roll up his skeves and do his aob as if he was just anothsr orking man .","He would rather quietly prepare for the next game to shed his sport coat , roll up his sleeves and do his job as if he was just another working man .","He would read quietly to prepare for the next game, and then share his sport coat, roll up his scarves and do his sob as if he was just another working man.","{'sleeves', 'to', 'job', 'shed', 'for', 'another', 'working', 'rather'}","{'then', 'share', 'to', 'game,', 'read', 'coat,', 'scarves', 'for', 'another', 'man.', 'sob', 'working'}"
What is worse is that is the making romarks tht if he really wanted to learn he could .,What is worse is that is the making remarks that if he really wanted to learn he could .,What is worse is that is the making of romarks that if he really wanted to learn he could.,{'remarks'},"{'could.', 'of'}"
"Stephen Roberton , the BRC director general , sais the dramani improvement had to be traatrd with caution .","Stephen Robertson , the BRC director general , said the dramatic improvement had to be treated with caution .","Stephen Roberton, the BRC director general, says the drama Ni improvement had to be treated with caution.","{'treated', 'said', 'dramatic', 'Robertson'}","{'treated', 'Roberton,', 'general,', 'drama', 'says', 'caution.', 'Ni'}"
"His "" intellect "" was shanlow , and espoused ideas based on tothinf nore than his dogmatic insistence rhat his privileged view of yhings was thee right view .","His "" intellect "" was shallow , and espoused ideas based on nothing more than his dogmatic insistence that his privileged view of things was the right view .","His "" intellect "" was shallow, and espoused ideas based on more than his dogmatic insistence that his privileged view of things was the right view.","{'things', 'that', 'nothing', 'shallow', 'more', 'the'}","{'things', 'that', 'shallow,', 'view.', 'more', 'the'}"
"The declaration is a precaution , say health officials , who call on the public to be call and preparkd .","The declaration is a precaution , say health officials , who call on the public to be calm and prepared .","The declaration is a precaution, say health officials, who call on the public to be called and prepared.","{'calm', 'prepared'}","{'called', 'officials,', 'prepared.', 'precaution,'}"
"They visit Juneau , Skageay and Ketchikan , Glacier Bay National Park and Tracy Arm fjord .","They visit Juneau , Skagway and Ketchikan , Glacier Bay National Park and Tracy Arm fjord .","They visit Juneau, Skageay and Ketchikan, Glacier Bay National Park and Tracy Arm fjord.",{'Skagway'},"{'fjord.', 'Juneau,', 'Ketchikan,'}"
